"vac_title","fulltext","Seniority"
"Serviceberater Nutzfahrzeuge Solingen (m/w) Pos. 450a (Kraftfahrzeugmechaniker/in)","Serviceberater Nutzfahrzeuge Solingen (m/w) Pos. 450a (Kraftfahrzeugmechaniker/in) directhire Stellenangebotsbeschreibung: ____________________________________________ ____________________________________________ Arbeitgeber Unser Mandant ist ein inhabergeführtes Autohaus für mehrere starke Marken. In insgesamt drei hochmodernen Werkstätten in NRW erzielt er eine umfassende Kundenzufriedenheit. Um dieses Ziel zu erreichen, setzt unser Mandant auf ein leistungsstarkes und sympathisches Team sowie die Zufriedenheit seiner Mitarbeiter. Zur Verstärkung seines hoch qualifizierten Teams aus Markenexperten sucht er einen engagierten Serviceberater Nutzfahrzeuge (m/w) als Teamergänzung. Für die gezielte Förderung seiner Mitarbeiter bietet er zudem vielfältige Entwicklungs- und Weiterbildungsmöglichkeiten entsprechend ihren Talenten. Zum Beispiel schult er intensiv auf die betreuten Marken und gibt Ihnen so die Möglichkeit, Ihr Spektrum zu erweitern. Bei ihm erwartet Sie ein zukunftssicheres, interessantes und perspektivenreiches Berufsleben. Neben einem sehr guten Betriebsklima bietet unser Mandant Ihnen ein attraktives Einkommen, eine abwechslungsreiche Aufgabe sowie regelmäßige Schulungen und weitere Zusatzleistungen. ____________________________________________ Aufgaben * Freundliche, kompetente Serviceberatung * Auftragsabwicklung und terminliche Abstimmung der Reparaturaufträge von der Auftragsannahme über die Fahrzeugübergabe bis hin zur Kundennachbetreuung * Reklamationsmanagement, Garantie- und Kulanzabwicklung * Persönliche Betreuung und Beratung der Kunden * Absprachen mit dem Werkstatt-Team * Mitgestaltung der Service- und Verkaufsevents ____________________________________________ Anforderungen * Abgeschlossene Berufsausbildung als Kfz-Mechaniker, Kfz-Mechatroniker oder ähnlich * Gerne Weiterbildung zum Techniker oder Meister, das ist aber keine Voraussetzung * Berufserfahrung als Serviceberater im Bereich Nutzfahrzeuge, Marke ist egal * Zuverlässigkeit, hohe Flexibilität, Einsatzbereitschaft und Teamfähigkeit * Ausgeprägte Kommunikationsfähigkeit und Freude am Umgang mit Kunden ____________________________________________ Bewerbung Haben wir Sie neugierig gemacht? Wenn Sie mehr erfahren möchten, steht Ihnen Herr Anvari unter 0211 93 67 92 - 10 gerne zur Verfügung und freut sich auf Ihre Unterlagen per Email. Bitte beziehen Sie sich bei Ihrer Bewerbung auf die Referenznummer 450a und schicken diese an talente@ta-lent.de. ____________________________________________ TA-LENT Die Personalfinder Bei TA-LENT sind wir ein Team von Ingenieuren und darauf spezialisiert, die richtigen Mitarbeiterinnen und Mitarbeiter für kleine und mittelständige Industrieunternehmen zu finden. Wir vermitteln ausschließlich direkt in Festanstellung und unser Honorar wird von den Unternehmen getragen. Möchten Sie mehr wissen? Dann laden wir Sie auf unsere Homepage www.TA-LENT.de ein. ____________________________________________ ____________________________________________","Medior"
"I085: NEU-Beginn, Anfänger/in: Pflegehelfer/in, Seniorenheim (Servicekraft - Gastronomie und Gastgewerbe)","I085: NEU-Beginn, Anfänger/in: Pflegehelfer/in, Seniorenheim (Servicekraft - Gastronomie und Gastgewerbe) directhire Stellenangebotsbeschreibung: I085: NEU-Beginn, Anfänger/in: Pflegehelfer/in, Seniorenheim Sie wollen MEHR Geld verdienen und dabei MENSCH sein? Ohne Erfahrung und Qualifikation in den Pflegebereich wechseln? Neues entdecken und sich fortbilden? 360° Respekt - also auch als Mitarbeiter*n gepflegt behandelt werden? Ich sichere Ihnen den Weg in eine stabile lukrative Tätigkeit mit sozialem Engagement und hervorragenden Perspektiven in den besten Pflegeeinrichtungen! + Einstieg ohne Pflegebasiskurs + Pflegeerfahrung keine Bedingung! + Senioren/-Heim/-Station/-Residenz + Betreuungsschlüssel super + Vollzeit ab 30 h/Woche + alle Schichten incl. Nacht und Wochenende + Einkommen überdurchschnittlich + respektvolles Arbeitsklima + Fort- und Weiterbildung KOSTENFREI Qualifikation: kein Pflegebasiskurs notwendig (Servicekraft - Gastronomie und Gastgewerbe - Pflegeassistenz) Sie möchten - in einem angesehenen Seniorenheim/Pflegeheim/Seniorenresidenz arbeiten? - in Ruhe und mit Geduld eingearbeitet werden? - schrittweise aktivierende Grundpflege, Betreuungsarbeiten sowie teilweise Essensversorgung leisten? - veranwortungsvoll pflegen (lernen)? - auch als Mitarbeiter/in gepflegt behandelt werden? - in Vollzeit (ab 30 Stunden/Woche) beschäftigt sein? - berechenbare Arbeitszeiten mit geschützter Freizeit haben? - ein attraktives Einkommen erzielen? - ein stabiles langfristiges Arbeitsverhältnis erreichen? Noten zum Arbeitgeber MDK: sehr gut AVB: sehr gut Stelle: sehr gut Sie verfügen über - die Bereitschaft, sich schrittweise in Ruhe und mit Geduld alle notwendigen grundpflegerischen Fähigkeiten anzueignen? - die Bereitschaft, den Pflegebasiskurs berufsbegleitend zu absolvieren (natürlich für Sie kostenfrei!)? - eine sehr gute körperliche und mentale Belastbarkeit? - die Bereitschaft in Früh-, Spät- und Nachtdiensten incl. Wochenende (2 Wochenenden im Monat frei) zu arbeiten? - ein gepflegtes Erscheinungsbild (""gepflegt Pflegen"")? - gute Sozialkompetenzen? - erste Vorerfahrungen in der Pflege (z.B. Angehörigenpflege)? Möglichweise verfügen Sie auch über - (längere) Erfahrungen aus der Arbeit in der stationären Pflege/Seniorenpflege? Sie können erwarten: - stabiles sozialversicherungspflichtiges Arbeitsverhältnis - Fort- und Weiterbildung (z.B. Pflegebasiskurs) - überdurchschnittliche Bezahlung - Arbeitsort: Berlin - wohnortnah, nach Ihren Wünschen - Arbeitslänge: 30-40 Stunden/Woche n.V. - Arbeitszeitlage: Früh-, Spät- und Nachtdienst incl. Wochenende (2 Wochenenden/Monat frei) Ihre Vision - unsere Mission! Wir bieten: - sorgfältige Erfassung Ihrer Kompetenzen, Wünsche und Ziele - gemeinsame Festlegung auf eine erfolgsversprechende Strategie in den zukünftigen Job - passende Vorschläge bei hochwertigen Arbeitgebern/Stellen - vor, während und nach der Arbeitsaufnahme unsere sachkundige Hilfe - Unterstützung beim Wechsel des Arbeitsplatzes, Wohnungssuche usw. - Die Vermittlungsdienstleistungen sind für Sie kostenfrei (Aktivierungs- und Vermittlungsgutschein oder Arbeitgeberfinanzierung)! flextime fulltime Gewünschte Bewerbungsarten: firmeneigene Unterlagen, per E-Mail, persönlich, schriftlich, telefonisch, über Internet Internetadresse: http://www.pflege-im-zentrum.de Geforderte Anlagen: Lebenslauf, Foto, Qualifikationsnachweise Bewerbungen per Email sind ausdrücklich erwünscht! Wir bitten um Verständnis, dass Bewerbungsunterlagen nur dann zurückgesendet werden, wenn ein ausreichend frankierter Rückumschlag beigefügt ist! Stellenangebot-Details in der Jobbörse der BA aufrufen: 10000-1164950024-S 10000-1164950024-S","Junior"
"Selbstständiger Merchandiser (w/m/d) für HiFi-Produkte","Selbstständiger Merchandiser (w/m/d) für HiFi-Produkte Für ein MSH-Projekt im Großraum Mannheim-Saarbrücken suchen wir einen selbstständigen Merchandiser (w/m/d). Nr. 956509 vom 17.08.2018 Nr. 956509 vom 17.08.2018, 55 Views Branche, Tätigkeit Unterhaltungselektronik, Merchandiser Aktionsinhalt Ihre Bewerbung kann nur unter Angabe folgender Referenznummer 265_01_0818 im Betreff berücksichtigt werden. Die 1976 gegründete COMBERA GmbH ist eine der führenden Fullservice-Agenturen für POS-Marketing und Marktführer im Bereich Vertriebsunterstützung in Deutschland. Mit den Business Units POS Marketing, POS Intelligence und POS Sales bietet COMBERA seinen Kunden täglich einen umfassenden ... Anforderungsprofil Ihr Profil: * Berufserfahrungen im Außendienst oder im Einzelhandel * hohes Maß an Selbstorganisation * kompetentes, durchsetzungsstarkes und freundliches Auftreten * MS Office-Kenntnisse, sicherer Umgang mit modernen Medien * Führerschein Klasse B Aktions-Standorte PLZ 66*-68* Optimaler Standort: Mannheim Jobsuchende erhalten 1 kostenlose SetCard, in die 3 Fotos hochgeladen werden können. Diese wird bei jeder der Bewerbungen kostenlos mit einem 200 Tage langem Zugriff für den jeweiligen Jobanbieter ausgestattet. Der Jobletter ist mit praktischen Filtern ausgestattet, SMS informieren über aktuelle Jobangebote. Jobsuchende melden sich hier kostenlos an! Jobanbieter erhalten 1 kostenloses Inserat für einen unverbindlichen Test. Sie schalten ihre Jobangebote schnell und effizient. Besonders einfach ist das Wiederbeleben bestehender Inserate. Zahlreiche Filter in den Jobangeboten und eine Umkreissuche in der Bewerberübersicht runden die Datenabstimmung ab. Jobanbieter melden sich hier kostenlos an!","Medior"
"Servicetechniker - Mechanik (m/w)","Jobs per E-Mail Mikron Berlin GmbH Servicetechniker - Mechanik (m/w) * Berlin * Feste Anstellung * Vollzeit * Mikron Automation ist der führende Anbieter von skalierbaren und massgeschneiderten Montagesystemen - von der ersten Idee bis zur leistungsstärksten Umsetzung. Mikrons Know-how und grosse Erfahrung garantieren produktivste Montagelösungen für Kundenprodukte während des gesamten Produktlebenszyklus. Für unseren Standort Berlin suchen wir einen Servicetechniker - Mechanik (m/w) Ihre Hauptaufgaben * Selbstständige Service- und Gewährleistungseinsätze im In- und Ausland * Mechanische Instandsetzung und Wartung der Maschinen, Stationen und Zellen * Mechanische Endkontrolle * Beseitigung von mechanischen Störungen und Durchführung von Nachrüstarbeiten im Rahmen von Serviceeinsätzen bei Kunden weltweit * Technische Betreuung und Schulung unserer Kunden * Erstellung von Serviceangeboten und notwendigen Dokumentationen Ihr Profil * Staatlich geprüfter Techniker/Meister oder Ausbildung in den Bereichen Mechatronik oder Automatisierungstechnik * Mehrjährige Berufserfahrung in ähnlicher Funktion * Erfahrung in Elektronik, Hydraulik und Pneumatik erwünscht * Hohe Reisebereitschaft * Englischkenntnisse von Vorteil * Ausgeprägte Service- und Kundenorientierung * Zuverlässigkeit, Teamfähigkeit und Hands-on-Mentalität Wir bieten * Eine abwechslungsreiche Tätigkeit in einem Unternehmen mit ausgezeichneter Marktposition * Ein zukunftssicherer und interessanter Arbeitsplatz mit der Möglichkeit, sich in einem global agierenden Konzern weiterzuentwickeln * Ein gutes Betriebsklima mit einem hoch motivierten und dynamischen Team * Eine leistungsorientierte Entlohnung und attraktive Sozialleistungen Haben wir Ihr Interesse geweckt? Dann senden Sie uns bitte Ihre vollständigen Bewerbungsunterlagen per E-Mail, mit Angabe Ihrer Gehaltsvorstellungen sowie Ihres nächstmöglichen Eintrittstermins. Vergessen Sie bitte nicht, uns mitzuteilen, wie Sie auf die Stellenanzeige aufmerksam geworden sind. Bei Fragen kontaktieren Sie bitte Frau Carmen Brüstle, Human Resources Manager - Recruiting, Tel. +49 741 5380-338. Mikron Berlin GmbH, Landsberger Strasse 252, 12623 Berlin, Tel. +49 30 9830 7211, hr.mro@mikron.com, www.mikron.com Karte anzeigen Standort Mikron Berlin GmbH Landsberger Str. 252, 12623 Berlin, Deutschland Jetzt bewerben Merken Sie möchten sich dieses Stellenangebot per Email senden?","Senior"
"CNC-Dreher (m/w)","CNC-Dreher (m/w) * 73433 Aalen, Württemberg * ab sofort Jetzt direkt bewerben Zur Bewerbung PER WHATSAPP BEWERBEN Per WhatsApp bewerben Hiermit bestätige ich meine freiwillige Anmeldung auf dem WhatsApp-Portal von Schwaben Personal. Mir ist bekannt, dass ich damit auch die AGBs von WhatsApp akzeptiere, auf die Schwaben Personal OHG keinerlei Einfluss hat. Chat öffnen PER WHATSAPP BEWERBEN Zurück zur Liste * Job merken * Drucken * per Whats App teilen Regional. Persönlich. Professionell. Die Schwaben Personal OHG ist ein regionales und inhabergeführtes Personaldienstleistungsunternehmen für gewerbliche und kaufmännische Fach- und Anlernkräfte. Mit unserem Dienstleistungsportfolio in den Bereichen Personalleasing, Personalvermittlung und On-Site-Management bieten wir unseren Kunden in Baden-Württemberg individuelle und hochwertige Personallösungen. Mit aktuell sechs Niederlassungen im Großraum Stuttgart und über 1.200 externen Mitarbeitern zählt die Schwaben Personal OHG zu einem der führenden Personaldienstleister in der Region. Mehr als 900 Kunden aus allen Branchen vertrauen auf unsere Expertise und Qualität. Für unseren namhaften Kunden mit Sitz in Aalen zum schnellstmöglichen Zeitpunkt gesucht. Ihre Aufgaben * CNC-Drehen in Serienfertigung * Kleiner Programmkorrekturen * Maschinen umrüsten Ihr Profil * Kenntnisse im CNC-Drehen * Idealerweise abgeschlossene Ausbildung in einem Metallberuf * Schichtbereitschaft * Führerschein und PKW von Vorteil * Zuverlässigkeit und Motivation Ihre Vorteile mit Schwaben Personal * Die Möglichkeit, mit namhaften und auch international erfolgreichen Unternehmen in Kontakt zu kommen * Ein unbefristetes Arbeitsverhältnis bei dem TOP Personaldienstleister 2017, ausgezeichnet vom Magazin FOCUS, mit der Chance auf Übernahme bei fachlicher und persönlicher Eignung * Eine gezielte Einarbeitung in Ihren neuen Aufgabenbereich * Eine attraktive Bezahlung nach dem iGZ-Tarifvertrag (auch übertariflich) * Bezahlung von Branchenzuschlägen * Eine Mitarbeiter-Empfehlungsprämie in der Höhe von bis zu 750,- EUR * Ein frisches und dynamisches Team, welches Sie bereichern werden * Bezahlung von Sozialleistungen wie z. B. Weihnachts- und Urlaubsgeld * Ein Angebot an stetigen Fort- und Weiterbildungsmöglichkeiten (Staplerschein, Schweißerpass etc.)","Medior"
"Industriekaufmann/-frau","Industriekaufmann/-frau Ausbildungsbeginn September 2019 Starte ins Berufsleben - mit einer Ausbildung bei Zier! Das bringst du mit: * Mittlere Reife, Fachhochschulreife bzw. Abitur * logisches Denken, Entscheidungsfreudigkeit * Aufgeschlossenheit gegenüber Neuem * mit Spaß am PC arbeiten Was wir dir bieten: * Einführung in alle betrieblichen Bereiche * Übernahme eigener verantwortungsvoller Tätigkeiten und Projekte * Integration im Team * nach erfolgreichem Abschluss gute Weiterbildungs- und Übernahmechancen Dein Weg zu uns: Du weißt nicht ob das der richtige Beruf für dich ist? Oder du möchtest den Beruf und die Firma Zier näher kennen lernen? Gerne kannst du dich auch um ein Schnupperpraktikum bei uns bewerben. Wir freuen uns auf deine schriftliche Bewerbung! Für Rückfragen steht dir Frau Claudia Zier, Tel. 07723/931812 (vormittags) gerne zur Verfügung. Udo Zier GmbH | Katzensteig 22 | 78120 Furtwangen | Telefon: 07723 / 93 18 0 | Telefax: 07723 / 93 18 40","Junior"
"Aushilfen im Service auf Station (m/w)","Aushilfen im Service auf Station (m/w) Lorsch FULL_TIME Schön Klinik Verwaltung GmbH 2018-08-03 Den Kontakt mit dem Patienten gestalten, nicht verwalten. Für unseren Standort in Lorsch (Hessen) suchen wir zum nächstmöglichen Zeitpunkt Aushilfen im Service auf Station (m/w) Minijob, befristet Ihre Aufgaben: Unterstützung im Service auf zwei Stationen Ausgabe des Frühstücks an Patienten Abräumen und Transport des Geschirrs Hauswirtschaftliche Tätigkeiten Einsatz am Wochenende und an Feiertagen von 07.00 - 09.00 Uhr Ihr Profil: Ausgeprägte Kunden- und Serviceorientierung Höfliche Umgangsformen und gepflegtes Erscheinungsbild Spaß an der Arbeit im Team Verantwortungsbewusster Arbeitsstil Unser Angebot: Abwechslungsreiches und interessantes Aufgabengebiet Teamorientierte Atmosphäre Arbeiten in der Rhein-Main-Neckar-Metropolregion direkt an der hessischen Bergstraße (30 km nach Heidelberg und Mannheim, 50 km nach Frankfurt) Für Rückfragen steht Ihnen Ursula Funk, Pflegedienstleitung, gerne zur Verfügung: Tel. 06251 591-111. Schön Klinik Lorsch | Wilhelm-Leuschner-Straße 10 | 64653 Lorsch Schön Klinik. Messbar. Spürbar. Besser.","Junior"
,"10000-1167555972-S VOLLZEIT 29683 Bad Fallingbostel Niedersachsen 2018-12-04 Maschineneinrichtung, Anlageneinrichtung Qualitätsprüfung, Qualitätssicherung Wartung, Reparatur, Instandhaltung Fachkraft - Fruchtsafttechnik Fachkraft - Lebensmitteltechnik BEFRISTET Genuss und Gesundheit, Innovation und Tradition - diese Werte sind für uns verpflichtend. Unsere Kompetenz als Markenartikelunternehmen beweisen wir immer wieder durch die Stärke unserer Marken sowie das Engagement unserer Mitarbeiter. Wir sind ein starkes Team mit flachen Hierarchien sowie Freiraum zur Gestaltung, in dem Vertrauen wichtig und die eigene Meinung gefragt ist. Wir suchen zur Verstärkung unseres Teams zum nächstmöglichen Zeitpunkt Maschinen-und Anlagenführer Vollzeit WAS SIE BEI UNS ERWARTET: *Überwachung der Maschinen innerhalb der PET-Anlage *Bestücken der produktbezogenen A&V-Materialien *Erkennung und Beseitigung von Störungen *Einhaltung der Qualitäts- und Hygienestandards *Umbau-, Reinigungs- und Einstellungsarbeiten *Interne Prozesskontrollen und Dokumentation WAS WIR VON IHNEN ERWARTEN: *Abgeschlossene Berufsausbildung in einem Berufsbild der Getränke- und Lebensmittelindustrie, idealerweise Fachkraft für Fruchtsafttechnik oder artverwandter Beruf mit technischem Hintergrund *Interesse und Erfahrungen an technischen Anlagen und Maschinen *Prozessverständnis *Bereitschaft zur Schichtarbeit *Teamfähigkeit und Kommunikationsfähigkeit sowie Verantwortungsbewusstsein und Zuverlässigkeit Interessiert? Dann freuen wir uns über Ihre Bewerbung mit Angabe Ihrer Entgeltvorstellung und Ihres möglichen Einstellungstermins. Eckes-Granini Deutschland GmbH Arthur Simon Eckes-Granini Deutschland GmbH, Pröhlsfeld 6, 29683 Bad Fallingbostel, Deutschland, Niedersachsen arthur.simon@eckes-granini.com","Junior"
"Kfz Mechatroniker (m/w) zu sofort (Kraftfahrzeugmechaniker/in)","Kfz Mechatroniker (m/w) zu sofort (Kraftfahrzeugmechaniker/in) directhire Stellenangebotsbeschreibung: Kraftfahrzeugmechatroniker (m/w) Herzlich willkommen beim JENATEC-Team! Spezialist im Personalmanagement für die Industrie. Wir überlassen Sie Ihren Wünschen entsprechend in renommierte Kundenbetriebe und Branchen. Werden Sie ein Teil von uns! Für unseren namenhaften Partner mit meheren Standorten suchen wir Sie als als Kraftfahrzeugmechatroniker (m/w) in Bielefeld. IHRE AUFGABENSCHWERPUNKTE: - Durchführung von Inspektionen - Wartungs- und Instandhaltungsarbeiten - Diagnose und Fehlerbehebung an elektrisch und elektronisch gesteuerten Komponenten - Einbau von technischer Zusatzausstattung und Zubehör IHR PROFIL: - Abgeschlossene Ausbildung zum Kfz-Mechatroniker/- Mechaniker (m/w) - Mehrjährige Berufserfahrung vorteilhaft, aber kein muss - Gute Kenntnisse in den einschlägigen Kfz-Instandsetzungsarbeiten (Ford, VW, Opel) - Souveräner Umgang mit Kfz-Diagnosetechnik - Übernahme durch unseren namenhaften Kunden WIR BIETEN: - Unbefristeter Arbeitsvertrag und sichere Anstellung - Kollegiales Umfeld mit angenehmer Arbeitsatmosphäre - Geregelte Arbeitszeiten - attraktive übertarifliche Entlohnung - Betriebliche Altersversorge - Betreuung durch unser kompetentes JENATEC Team Bielefeld Haben wir Ihr Interesse geweckt? Bewerben Sie sich telefonisch 0521-8006770, schriftlich, via E-Mail bielefeld.info@jenatec.de oder online über unsere Homepage www.Jenatec.de Ergänzende Informationen: Anforderungen an den Bewerber: Grundkenntnisse: Fahrzeugdiagnose, Kundendienst, Blechbearbeitung, Karosseriearbeiten Erweiterte Kenntnisse: Korrosionsschutz, Unfallinstandsetzung, Fahrzeugsysteme-Mechatronik, Personenkraftwagentechnik, Kraftfahrzeugwartung, Kraftfahrzeugreparatur, Wartung, Reparatur, Instandhaltung fulltime Gewünschte Bewerbungsarten: schriftlich, telefonisch, über die JOBBÖRSE, über Internet Internetadresse: http://www.Jenatec.de Geforderte Anlagen: Geforderte Anlagen: Lebenslauf, Zeugnisse Stellenangebot-Details in der Jobbörse der BA aufrufen: 10000-1162575737-S 10000-1162575737-S","Medior"
"Ausbildung zum Werkzeugmechaniker (m/w) * Ausbildung zum Verfahrensmechaniker (m/w)","J&s Gmbh Automotive Technology Ausbildung zum Werkzeugmechaniker (m/w) * Ausbildung zum Verfahrensmechaniker (m/w) * Breitenbrunn * Duale Ausbildung * Alle Abschlüsse Zur Original-Stellenanzeige Auszug der Stellenbeschreibung * Ausbildung zum Werkzeugmechaniker (m/w) * Ausbildung zum Verfahrensmechaniker (m/w) - Kunststoff- und Kautschuktechnik * Ausbildung zum Werkzeugmechaniker (m/w) in Breitenbrunn Aufgaben: * Spezialisierung Einkauf * Anfragen und Angebote einholen * Bestellungen auslösen * Wareneingangskontrollen * Preisverhandlungen führen (ggf. in englischer Korrespondenz) * vierteljährliche Inventuren durchführen Anforderungen: * abgeschlosse Schulausbildung (mindestens mittlere Reife) * gute Noten in Deutsch, Mathe und Englisch * kontaktfreudig, belastbar, flexibel und zuverlässig * teamfähig und kommunikativ Kontakt J&S GmbH Automotive Technology Rostocker Strasse 11 D-14641 Wustermark Automotive Surface Technology GmbH & Co. KG Hermann- Riemschneider- Strasse 7 D-16816 Neuruppin J&S North America Corp. 1820 East University Drive Auburn, AL 36830 J&S Werkzeugbau Weigel GmbH Karlsbader Str. 9 D-08359 Breitenbrunn Zur Original-Stellenanzeige Standort J&S GmbH Automotive Technology Breitenbrunn https://www.azubi.de/ausbildungsplatz/342392-b-ausbildung-zum-werkzeugmechaniker-m-w-ausbildung-zum-verfahrensmechaniker-m-w","Junior"
"Ausbildung zum Zerspanungsmechaniker / Industriemechaniker (m/w/d)","ThyssenKrupp AG Ausbildung zum Zerspanungsmechaniker / Industriemechaniker (m/w/d) * Chemnitz * Duale Ausbildung * Abitur / Fachabitur Zur Original-Stellenanzeige Auszug der Stellenbeschreibung engineering.tomorrow.together. thyssenkrupp, das sind mehr als 158.000 Mitarbeitende in 79 Ländern und € 41,5 Mrd. Umsatz im Jahr. Das ist Automotive, Logistik, Anlagenbau, Stahlproduktion, Aufzugsbau und noch mehr. Auf der ganzen Welt, in großen und in kleinen Unternehmen, aber immer gemeinsam. Das sind über 200 Jahre Industriegeschichte und modernste Technologie. Wir haben eine Aufgabe, die zu Ihnen passt, die Ihre Neugier weckt und Sie herausfordert. Wir haben folgende Ausbildungsplätze mit Beginn des Ausbildungsjahres 2019 zu besetzen: Ausbildung zum Zerspanungsmechaniker / Industriemechaniker (m/w/d) thyssenkrupp Presta Chemnitz GmbH, Standort Chemnitz Als innovativer Partner der internationalen Automobilindustrie und Weltmarktführer für gebaute Nockenwellen setzt die thyssenkrupp Camshafts-Gruppe Qualitätsmaßstäbe. Gebaute Nockenwellen von thyssenkrupp sind in über 130 Mio. Motoren im Einsatz. Mit rund 3.000 Mitarbeitern an zehn Standorten weltweit produzieren wir mehr als 25 Mio. Nockenwellen und Haubenmodule pro Jahr, davon etwa drei Mio. am Standort Chemnitz. Bei der thyssenkrupp Presta Chemnitz GmbH ist unter anderem die Fertigung von Nutzfahrzeugnockenwellen sowie die gruppenweite Forschung und Entwicklung angesiedelt. thyssenkrupp Camshafts ist eine Unternehmensgruppe innerhalb der Business Area Components Technology im thyssenkrupp Konzern. Ihre Aufgaben Sie suchen eine anspruchsvolle Ausbildung, die Spaß macht, sich an der Technik von morgen orientiert und die Ihnen schon früh Verantwortung und selbstständiges Handeln abverlangt? Als Schulabsolvent/-in mit erfolgreichem Schulabschluss und Interesse an technischen Aufgaben haben Sie die Möglichkeit, die unterschiedlichen Unternehmensbereiche von thyssenkrupp Presta Chemnitz kennen zu lernen. Ziel ist es, auf Grundlage einer soliden Ausbildung den Arbeitseinstieg und die Weiterentwicklung im Unternehmen zu eröffnen. Im Rahmen einer 3 1/2 jährige Ausbildung werden Sie intensiv auf den Beruf des Zerspanungsmechanikers (m/w/d) oder Industriemechanikers (m/w/d) vorbereitet. Ihr Profil * Realschulabschluss / Abitur oder vergleichbarer Abschluss * Leistungsstarke Fächer: Mathematik, Englisch, Deutsch, Physik * Interesse und Verständnis für technische Zusammenhänge * Technisches und handwerkliches Geschick * Freude am präzisen Arbeiten Wir bieten * eine anerkannte gute Ausbildung zur Sicherung des eigenen Fachkräftenachwuchses * Entlohnung in Anlehnung an den branchenüblichen Tarifvertrag * 30 Tage Jahresurlaub * umfangreiche Qualifizierungsmöglichkeiten * ein modernes Arbeitsumfeld sowie Mitarbeit in einem offenen, dynamischen Team Über thyssenkrupp thyssenkrupp, das sind mehr als 156.000 Mitarbeiter in fast 80 Ländern und 39 Mrd. € Umsatz im Jahr. Das ist Automotive, Logistik, Anlagenbau, Stahlproduktion, Aufzugsbau und noch mehr. Auf der ganzen Welt, in großen und in kleinen Unternehmen, aber immer gemeinsam. Das sind über 200 Jahre Industriegeschichte und modernste Technologie. Über thyssenkrupp Presta Chemnitz GmbH Als innovativer Partner der internationalen Automobilindustrie und Weltmarktführer für gebaute Nockenwellen setzt die thyssenkrupp Camshafts-Gruppe Qualitätsmaßstäbe. Gebaute Nockenwellen von thyssenkrupp sind in über 130 Mio. Motoren im Einsatz. Mit rund 3.000 Mitarbeitern an zehn Standorten weltweit produzieren wir mehr als 25 Mio. Nockenwellen und Haubenmodule pro Jahr, davon etwa drei Mio. am Standort Chemnitz. Bei der thyssenkrupp Presta Chemnitz GmbH ist unter anderem die Fertigung von Nutzfahrzeugnockenwellen sowie die gruppenweite Forschung und Entwicklung angesiedelt. thyssenkrupp Camshafts ist eine Unternehmensgruppe innerhalb der Business Area Components Technology im thyssenkrupp Konzern. Ihre Aufgaben Sie suchen eine anspruchsvolle Ausbildung, die Spaß macht, sich an der Technik von morgen orientiert und die Ihnen schon früh Verantwortung und selbstständiges Handeln abverlangt? Als Schulabsolvent/-in mit erfolgreichem Schulabschluss und Interesse an technischen Aufgaben haben Sie die Möglichkeit, die unterschiedlichen Unternehmensbereiche von thyssenkrupp Presta Chemnitz kennen zu lernen. Ziel ist es, auf Grundlage einer soliden Ausbildung den Arbeitseinstieg und die Weiterentwicklung im Unternehmen zu eröffnen. Im Rahmen einer 3 1/2 jährige Ausbildung werden Sie intensiv auf den Beruf des Zerspanungsmechanikers (m/w/d) oder Industriemechanikers (m/w/d) vorbereitet. Ihr Profil * Realschulabschluss / Abitur oder vergleichbarer Abschluss * Leistungsstarke Fächer: Mathematik, Englisch, Deutsch, Physik * Interesse und Verständnis für technische Zusammenhänge * Technisches und handwerkliches Geschick * Freude am präzisen Arbeiten Wir bieten * eine anerkannte gute Ausbildung zur Sicherung des eigenen Fachkräftenachwuchses * Entlohnung in Anlehnung an den branchenüblichen Tarifvertrag * 30 Tage Jahresurlaub * umfangreiche Qualifizierungsmöglichkeiten * ein modernes Arbeitsumfeld sowie Mitarbeit in einem offenen, dynamischen Team Was wir Ihnen bieten Kollegiale Zusammenarbeit und Respekt im Umgang miteinander - das finden Sie bei uns seit über 200 Jahren. Wenn Ihnen das genauso wichtig ist wie uns, dann bewerben Sie sich jetzt! Was wir Ihnen bieten Kollegiale Zusammenarbeit und Respekt im Umgang miteinander - das finden Sie bei uns seit über 200 Jahren. Wenn Ihnen das genauso wichtig ist wie uns, dann bewerben Sie sich jetzt! Wir wertschätzen Vielfalt und begrüßen daher alle Bewerbungen - unabhängig von Geschlecht, Nationalität, ethnischer und sozialer Herkunft, Religion/Weltanschauung, Behinderung, Alter sowie sexueller Orientierung und Identität. Ihre vollständigen Bewerbungsunterlagen senden Sie bitte bis zum 31.10.2018, bevorzugt über unser Online-Formular, an die Personalabteilung unseres Standortes. Ansprechpartner Für Fragen stehen wir Ihnen gern zur Verfügung. Frau Th. Hermann Personalabteilung Heinrich-Lorenz-Str. 57 09120 Chemnitz Zur Original-Stellenanzeige Standort ThyssenKrupp AG Chemnitz https://www.azubi.de/ausbildungsplatz/318531-b-ausbildung-zum-zerspanungsmechaniker-industriemechaniker-m-w-d","Junior"
