"jobtitle","link","summary","description","Seniority"
"Treasurer (w/m)","https://www.roberthalf.de/job/koln/treasurer-wm/60030-0010779643-dede?page=2","Treasurer (w/m) gesucht - Für unseren Kunden, ein weltweit agierendes Chemieunternehmen, suchen wir ab sofort im Rahmen der Arbeitnehmerüberlassung einen Treasurer (w/m). Die Stelle ist ab sofort in Köln...","<div class=""rh-job-page__job-info-text""><p><strong>Treasurer (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein weltweit agierendes Chemieunternehmen, suchen wir ab sofort im Rahmen der Arbeitnehmerüberlassung einen Treasurer (w/m). Die Stelle ist ab sofort in Köln zu besetzen. Das Unternehmen beschäftigt derzeit knapp 1400 Mitarbeitern an 14 Produktionsstandorten. Unser Kunde bietet seinen Mitarbeitern (w/m) ein spannendes und herausforderndes Arbeitsumfeld.</p><br/><p>Sie sind auf der Suche nach einem Neustart? Dann bewerben Sie sich noch heute!</p><br/><p>Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br> </br></p><br/><p><strong>Ihre Aufgaben als</strong><strong> Treasurer (w/m)</strong></p><br/><ul><br/><li>Analyse und Erstellung des monatlichen Liquiditätsreports</li><br/><li>Erstellung von ad hoc Reports</li><br/><li>Vorbereitung und Durchführung von fachübergreifenden Projekten</li><br/><li>Betreuung des Cash Managements</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Erfolgreich abgeschlossenes betriebswirtschaftliches Studium oder vergleichbar</li><br/><li>Mehrjährige Berufserfahrung in der Finanz-/Treasuryabteilung</li><br/><li>Hohe Zahlenaffinität, präzise Arbeitsweise und analytische Denkweise</li><br/><li>Gute Englischkenntnisse in Wort und Schrift</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Treasurer (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 60030-0010779643</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Estela Mateos Villa von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuODAzNDYuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"1st/ 2nd Level Supporter (w/m)","https://www.roberthalf.de/job/langenfeld/1st-2nd-level-supporter-wm/06630-0010719320-dede?page=2","1st/ 2nd Level Supporter (w/m) gesucht - Für unseren Kunden, eine Unternehmensberatung mit Sitz in Langenfeld, suchen wir ab sofort einen 1st/ 2nd Level Supporter (w/m). Das Unternehmen berät nationale...","<div class=""rh-job-page__job-info-text""><p><strong>1st/ 2nd Level Supporter (w/m) </strong><strong>gesucht</strong> - Für unseren Kunden, eine Unternehmensberatung mit Sitz in Langenfeld, suchen wir ab sofort einen 1st/ 2nd Level Supporter (w/m). Das Unternehmen berät nationale sowie internationale Kunden in allen Unternehmens- und IT-Prozessen. Bei der Position handelt es sich um eine direkte Festanstellung bei unserem Kunden. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  </p><br/><p><strong>Ihre Aufgaben als 1st/ 2nd Level Supporter (w/m)</strong></p><br/><ul><br/><li>Erste Annahme und Analyse von Kundenproblemen</li><br/><li>Entgegennahme von Anrufen und Aufnahme von Störungen im Ticketsystem</li><br/><li>Vermittlung der Vorfälle zwischen Kunden und Hersteller</li><br/><li>Eigenständige Bearbeitung der bestehenden Vorfälle </li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Idealerweise abgeschlossenes Studium mit Schwerpunkt Informatik, eine Ausbildung als Fachinformatiker oder vergleichbare Qualifikationen</li><br/><li>Kenntnisse im Bereich Microsoft Server und Internet Information Services</li><br/><li>Kundenfreundlichkeit</li><br/><li>Gute Deutsch- und Englischkenntnisse in Wort und Schrift </li><br/></ul><br/><p><strong>Unser Kunde bietet</strong></p><br/><ul><br/><li>Einen unbefristeten Arbeitsvertrag</li><br/><li>Flache Hierarchien</li><br/><li>Kontinuierliche Trainings sowie gezielte Förderung</li><br/><li>Zahlung der Vermögenwirksamen Leistungen in voller Höhe</li><br/><li>Betriebliche Altersvorsorge</li><br/><li>Kostenübernahme für Ihr Fitnessstudio oder Ihren Sportkurs</li><br/><li>Kostenlose Getränke sowie einen Obstkorb im Büro</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als 1st/ 2nd Level Supporter (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06630-0010719320</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Herr Patrice Egoumè von Robert Half gerne zur Verfügung.  </p><img src=""https://counter.adcourier.com/cm96YWsuOTA2ODUuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Kaufmann für Bürokommunikation (w/m)","https://www.roberthalf.de/job/dusseldorf/kaufmann-fur-burokommunikation-wm/06630-0010794483-dede?page=2","Kaufmann für Bürokommunikation (w/m) gesucht - Für unseren Kunden, ein Unternehmen aus der Bankenbranche in Düsseldorf, suchen wir ab sofort einen Kaufmann für Bürokommunikation (w/m). Das Unternehmen...","<div class=""rh-job-page__job-info-text""><p><strong>Kaufmann für Bürokommunikation (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein Unternehmen aus der Bankenbranche in Düsseldorf, suchen wir ab sofort einen Kaufmann für Bürokommunikation (w/m). Das Unternehmen bietet ein symphytisches Team, gute Verkehrsanbindungen sowie abwechslungsreiche Aufgaben mit einer Karriereperspektive. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Kaufmann für Bürokommunikation (w/m)</strong></p><br/><ul><br/><li>Erstellung von Abrechnungen an unsere Kunden</li><br/><li>Prüfen und Buchen von Eingangsrechnungen</li><br/><li>Administrative und organisatorische Aufgaben im Bereich des Rechnungswesens und der Verwaltung</li><br/><li>Vorbereitung zur Überweisung der Kreditorenrechnungen</li><br/><li>Unterstützung im Dialogmarketing</li><br/></ul><br/><p> </p><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene Berufsausbildung zum Kaufmann (w/m) für Bürokommunikation oder eine vergleichbare kaufmännische Ausbildung</li><br/><li>erste Berufserfahrung im Rechnungswesen ist wünschenswert</li><br/><li>Sicherer Umgang mit MS-Office</li><br/><li>Freude an eigenverantwortlichem Arbeiten sowie im Team</li><br/></ul><br/><p> </p><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Kaufmann für Bürokommunikation (w/m) unter Angabe der <strong>Referenznummer</strong> <strong>06630-0010794483</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Katharina Schneider von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuMjQ1NzkuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Disponent (w/m)","https://www.roberthalf.de/job/munchen/disponent-wm/06641-0010800676-dede?page=2","Disponent (w/m) gesucht - Für unseren Kunden mit Sitz in München suchen wir ab sofort einen Disponenten (w/m). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen...","<div class=""rh-job-page__job-info-text""><p><strong>Disponent (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden mit Sitz in München suchen wir ab sofort einen Disponenten (w/m). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Disponent (w/m)</strong></p><br/><ul><br/><li>Bedarfsanforderungen quantifizieren, terminieren und nach Vorgaben des Einkaufs selbstständig beschaffen mit SAP/R3</li><br/><li>Erarbeitung von Vorschlägen zur Materialbestandreduzierung</li><br/><li>Abwicklung von Fertigungsaufträgen, die zur Herstellung von Flugzeugkomponenten in Serie benötigt werden</li><br/><li>Abwicklung von Reparaturen und Nachbeschaffung der notwendigen Komponenten/ Materialien</li><br/><li>Kommunikation mit internationalen Lieferanten</li><br/></ul><br/><p> <strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene kaufmännische Ausbildung oder vergleichbare kaufmännische Qualifikation</li><br/><li>Erste Berufserfahrungen in der Sachbearbeitung</li><br/><li>Sicherer Umgang mit den gängigen MS-Office Anwendungen, SAP-Kenntnisse wünschenswert</li><br/><li>IT-Affinität</li><br/><li>Kunden- und Dienstleistungsorientierung</li><br/><li>Eigenverantwortliche Arbeitsweise, Flexibilität und Organisationstalent</li><br/><li>Hohe Kontakt- und Kommunikationskompetenz (schriftliche und mündliche Ausdrucksweise)</li><br/><li>Zuverlässigkeit und Belastbarkeit</li><br/><li>Teamgeist und Motivation</li><br/><li>Fließende Deutsch- und gute Englischkenntnisse in Wort und Schrift</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Disponent (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06641-0010800676</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau  Ellenberger von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm9iZXJ0aGFsZi4xNTU2MC4xMDcxN0ByaGlkZS5hcGxpdHJhay5jb20.gif""/></div>",
"Koordinator (w/m) für Datenschutz und Compliance","https://www.roberthalf.de/job/koblenz/koordinator-wm-fur-datenschutz-und-compliance/60200-0010723130-dede?page=2","Koordinator (w/m) für Datenschutz und Compliance gesucht - Für unseren Kunden, mit Sitz in Koblenz, suchen wir ab sofort einen Koordinator (w/m) für Datenschutz und Compliance (w/m). Der Einstieg erfolgt...","<div class=""rh-job-page__job-info-text""><p><strong>Koordinator (w/m) für Datenschutz und Compliance</strong> <strong>gesucht</strong> - Für unseren Kunden, mit Sitz in Koblenz, suchen wir ab sofort einen Koordinator (w/m) für Datenschutz und Compliance (w/m). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Koordinator (w/m) für Datenschutz und Compliance</strong></p><br/><ul><br/><li>Ansprechpartner für Datenschutzfragen</li><br/><li>Unterstützung bei projektbezogenen Datenschutzfragen</li><br/><li>Überprüfung von Datenschutzmeldungen</li><br/><li>Erfassung und Bewertung von Sachverhalten zum Thema Datenschutz</li><br/><li>Durchführung von Datenschutzprüfungen</li><br/></ul><br/><p> </p><br/><p> <strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossenes Studium im Bereich der Informationstechnologie, Recht oder einem datenschutznahen Fachbereich</li><br/><li>Erste Berufserfahrung im Bereich Datenschutz von Vorteil</li><br/><li>Sicherer Umgang mit den gängigen MS-Office Anwendungen, SAP-Kenntnisse wünschenswert</li><br/><li>Hohe Beratungs- und Sozialkompetenz</li><br/><li>Teamgeist und Motivation</li><br/></ul><br/><p> <strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Koordinator (w/m) für Datenschutz und Compliance unter Angabe der <strong>Referenznummer</strong> <strong>60200-0010723130</strong>  - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Hannah Berndt von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm9iZXJ0aGFsZi4xNjQ1OS4xMDcxN0ByaGlkZS5hcGxpdHJhay5jb20.gif""/></div>",
"Operativer Einkäufer (w/m)","https://www.roberthalf.de/job/aachen/operativer-einkaufer-wm/60030-0010789587-dede?page=2","KOMMUNIKATIONSSTARK? VERHANDLUNGSGESCHICK? Sie fühlen sich angesprochen? Wir suchen genau Sie! Für unseren Kunden im Bereich der Elektrotechnik mit Sitz im Großraum Aachen suchen wir einen engagierten operativen Einkäufer. Sie haben Lust...","<div class=""rh-job-page__job-info-text""><p>KOMMUNIKATIONSSTARK? VERHANDLUNGSGESCHICK? Sie fühlen sich angesprochen? Wir suchen genau Sie! Für unseren Kunden im Bereich der Elektrotechnik mit Sitz im Großraum Aachen suchen wir einen engagierten operativen Einkäufer. Sie haben Lust an abwechslungsreichen Projekten in einem internationalen Rahmen? Dann freue ich mich über Ihre Bewerbung.</p><br/><p>Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br> </br></p><br/><p><strong>Ihre Aufgaben als</strong><strong> Operativer Einkäufer (w/m)</strong></p><br/><ul><br/><li>Selbständige Durchführung globaler Warengruppen- und Beschaffungsmarktanalysen</li><br/><li>Eigenverantwortliche Bestellabwicklung über SAP</li><br/><li>Materialdisposition und Bestandskontrolle</li><br/><li>Optimierung der bestehenden Lieferantenbasis durch Lieferantenanalyse und</li><br/><li>Kommunikation und Koordination mit allen angrenzenden Fachbereichen</li><br/><li>Eigenverantwortliche Einkaufsabwicklung und Lieferantenkontakt<br> </br></li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Eine abgeschlossene kaufmännische Ausbildung oder gleichwertiges abgeschlossenes Studium</li><br/><li>Erste Erfahrung operativen Einkauf sind wünschenswert</li><br/><li>Sichere Anwenderkenntnisse des MS-Office Pakets</li><br/><li>Erste Erfahrungen mit SAP MM o.ä.</li><br/><li>Verantwortungsbewusstsein, Teamfähigkeit und eine hohe Einsatzbereitschaft</li><br/><li>Selbstständige und sorgfältige Arbeitsweise<br> </br></li><br/></ul><br/><p><strong>Vorteile der Zeitarbeit</strong></p><br/><ul><br/><li>Einarbeitung und Weiterbildungen durch Kundenunternehmen</li><br/><li>Der Weg aus der Berufspause/ Arbeitslosigkeit</li><br/><li>Kontakt und Vernetzung mit interessanten Unternehmen</li><br/><li>Erfahrungen sammeln und Erhöhung des eigenen „Marktwerts""</li><br/><li>Beste Chance für einen erfolgreichen Einstieg der Berufsanfängern und Hochschulabsolventen in die Arbeitswelt</li><br/><li> „Sprungbrett"" zur Direkteinstellung beim Kunden</li><br/></ul><br/><p> </p><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Operativer Einkäufer (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 60030-0010789587</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Stephanie Kniesel von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNDg2NzMuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"IT-Mitarbeiter im 2nd Level Support (w/m)","https://www.roberthalf.de/job/berlin/it-mitarbeiter-im-2nd-level-support-wm/06910-0010729444-dede?page=2","IT-Mitarbeiter im 2nd Level Support (w/m) gesucht - Für unseren Kunden, eines der führenden Unternehmen aus der IT-Dienstleistung mit Sitz in Berlin, suchen wir ab sofort einen IT-Mitarbeiter im 2nd...","<div class=""rh-job-page__job-info-text""><p><strong>IT-Mitarbeiter im 2nd Level Support (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, eines der führenden Unternehmen aus der IT-Dienstleistung mit Sitz in Berlin, suchen wir ab sofort einen IT-Mitarbeiter im 2nd Level Support (w/m). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhältst du einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für dich als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Deine Aufgaben als</strong><strong> IT-Mitarbeiter im 2nd Level Support (w/m)</strong></p><br/><ul><br/><li>Analyse und Lösung von Incidents im 2nd Level Support</li><br/><li>Monitoring der Infrastruktur, Diagnose, Management und Behebung von Störungen im 2nd Level Support im Ticketsystem</li><br/><li>Bearbeitung von Changes und Service Requests mit entsprechender Dokumentation</li><br/><li>Problemidentifikation, Fehleranalyse und Problemlösung per Telefon, Remote und Email</li><br/><li>Benutzerverwaltung mit Active Directory</li><br/><li>Konfigurationsanpassung in Managementsystemen</li><br/></ul><br/><p> </p><br/><p><strong>Dein Profil</strong></p><br/><ul><br/><li>Abgeschlossene Ausbildung zum Fachinformatiker (m/w/d) oder vergleichbare Qualifikation mit Berufserfahrung</li><br/><li>Erfahrung in der Anwendung von Active Directory</li><br/><li>Sicherer Umgang mit MS-Office</li><br/><li>Kommunikationsgeschick und sicheres Auftreten im Umgang mit Kunden und Kollegen</li><br/><li>Sehr gute Deutschkenntnisse in Wort und Schrift</li><br/></ul><br/><p> </p><br/><p><strong>Haben wir dein Interesse geweckt?</strong></p><br/><p>Dann bewirb dich online als IT-Mitarbeiter im 2nd Level Support (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06910-0010729444</strong> - dein Lebenslauf genügt. Bei Fragen steht dir Herr Kawe Haddadi von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuMjUwNTQuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Einkaufssachbearbeiter (w/m)","https://www.roberthalf.de/job/hamburg/einkaufssachbearbeiter-wm/06780-0010792612-dede?page=2","Einkaufssachbearbeiter (w/m) gesucht - Für unseren Kunden, ein Handelsunternehmen mit Sitz in Hamburg, suchen wir ab sofort einen Einkaufssachbearbeiter (w/m). Das Unternehmen gehört zu den Marktführern...","<div class=""rh-job-page__job-info-text""><p><strong>Einkaufssachbearbeiter (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein Handelsunternehmen mit Sitz in Hamburg, suchen wir ab sofort einen Einkaufssachbearbeiter (w/m). Das Unternehmen gehört zu den Marktführern in seiner Branche und beschäftigt weltweit mehr als 10.000 Mitarbeiter. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Einkaufssachbearbeiter (w/m)</strong></p><br/><ul><br/><li>Angebote einholen, vergleichen und verhandeln</li><br/><li>Beschaffung von Waren</li><br/><li>Auftragsbestätigungen Kontrollieren</li><br/><li>Terminverfolgung, Terminmahnungen und Terminverschiebungen</li><br/><li>Betreuung von Lieferantenreklamationen</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene kaufmännische/ technische Ausbildung</li><br/><li>Erste Erfahrungen im Einkauf</li><br/><li>Gute Kenntnisse in den Microsoft-Office-Programmen</li><br/><li>Gute Englischkenntnisse von Vorteil</li><br/><li>Herausragende kommunikative Fähigkeiten runden Ihr Profil ab</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Einkaufssachbearbeiter (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06780-0010792612</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Herr Ilja Tonkih von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuOTEzMzMuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Referent des CFO (w/m)","https://www.roberthalf.de/job/berlin/referent-des-cfo-wm/06910-0010756382-dede?page=2","Referent des CFO (w/m) gesucht - Für unseren Kunden, eine namenhafte Umweltorganisation mit Sitz in Berlin, suchen wir ab sofort einen Referenten des CFO (w/m). Bei der Position handelt es sich um eine direkte...","<div class=""rh-job-page__job-info-text""><p><strong>Referent des CFO (w/m) gesucht</strong> - Für unseren Kunden, eine namenhafte Umweltorganisation mit Sitz in Berlin, suchen wir ab sofort einen Referenten des CFO (w/m). Bei der Position handelt es sich um eine direkte Festanstellung bei unserem Kunden. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  </p><br/><p><strong>Ihre Aufgaben als Referent des CFO (w/m)</strong></p><br/><ul><br/><li>Eigenständige Vorbereitung und Organisation von Dienstreisen und Abrechnung der Reisekosten</li><br/><li>Erstellen und Koordinieren von Protokollen, Berichten und Präsentation</li><br/><li>Verantwortung für Termin- und Fristenkontrollen sowie für Korrespondenztätigkeiten in deutscher und englischer Sprache</li><br/><li>Eigenständige Planung von Veranstaltungen nach Absprache mit der Geschäftsführung</li><br/><li>Analysieren von Daten und Unterlagen zur Entscheidungsvorlage</li><br/><li>Kontrolle von zur Unterschrift vorgelegten Schriftstücken bezüglich ihrer Richtigkeit</li><br/><li>Exekution und Evaluierung von Projekten</li><br/><li>Unterstützung bei Sonderaufgaben</li><br/><li>Eigenständige Realisierung von Projekten</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Erfahrungen in einer ähnlichen Position wünschenswert</li><br/><li>Sicherer und routinierter Umgang mit dem MS Office Paket</li><br/><li>Eigenständige und strukturierte Arbeits- sowie flexible und schnelle Denkweise</li><br/><li>Positive Ausstrahlung und Hands-on-Mentalität</li><br/><li>Motivation, sich selbstständig in Themen einzuarbeiten und diese ganzheitlich zu realisieren</li><br/><li>Hohes Maß an Diskretion</li><br/><li>Organisationstalent und Durchsetzungsstärke</li><br/><li>Sehr gute Englischkenntnisse in Wort und Schrift</li><br/></ul><br/><p><strong>Unser Kunde bietet</strong></p><br/><ul><br/><li>Einen unbefristeten Arbeitsvertrag</li><br/><li>Flexible Arbeitszeiten mit Home-Office-Option</li><br/><li><strong>Eine inspirierende Arbeitsatmosphäre im Herzen Berlins</strong></li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Referent des CFO (w/m) unter Angabe der <strong>Referenznummer 06910-0010756382</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Rachel Dziedzic von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNjA0MDEuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
"Immobilienkaufmann (w/m)","https://www.roberthalf.de/job/koln/immobilienkaufmann-wm/60030-0010795145-dede?page=2","Auf der Suche nach Entwicklungsmöglichkeiten? Vielleicht weckt folgendes Stellenprofil Ihr Interesse. Unser Kölner Kunde ist im Bereich Immobilien tätig und sucht zur Unterstützung des Teams einen WEG-Verwalter (w/m), der auf der Suche...","<div class=""rh-job-page__job-info-text""><p>Auf der Suche nach Entwicklungsmöglichkeiten? Vielleicht weckt folgendes Stellenprofil Ihr Interesse. Unser Kölner Kunde ist im Bereich Immobilien tätig und sucht zur Unterstützung des Teams einen WEG-Verwalter (w/m), der auf der Suche nach abwechslungsreichen Aufgaben ist. Bewerben Sie sich noch heute. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Immobilienkaufmann (w/m)<br/></strong></p><br/><ul><br/><li>WEG-Verwaltung von Wohn- und Gewerbeobjekten</li><br/><li>Zusammenstellung von objektrelevanten Unterlagen</li><br/><li>Professionelle sowie kundenorientierte Beratung</li><br/><li>Terminierung und Durchführung von Kundenterminen</li><br/><li>Pflege des Netzwerkes und der Datenbank</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Kaufmännische Berufserfahrung, kaufmännische Ausbildung wünschenswert</li><br/><li>Erste Erfahrungen im Bereich Immobilienverwaltung</li><br/><li>Selbstständige, zuverlässige und systematische Arbeitsweise</li><br/><li>Gute kommunikative Fähigkeiten</li><br/></ul><br/><p><strong>Vorteile der Zeitarbeit</strong></p><br/><ul><br/><li>Einarbeitung und Weiterbildungen durch Kundenunternehmen</li><br/><li>Weg aus der Berufspause/ Arbeitslosigkeit</li><br/><li>Kontakt und Vernetzung mit interessanten Unternehmen</li><br/><li>Sammeln von Erfahrungen und Erhöhung des eigenen „Marktwerts""</li><br/><li>Beste Chance für einen erfolgreichen Einstieg für Berufsanfänger und Hochschulabsolventen in die Arbeitswelt</li><br/><li> „Sprungbrett"" zur Direkteinstellung beim Kunden</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Immobilienkaufmann (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 60030-0010795145</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Michelle Zimmer von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuMzMwMjMuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>",
